Report_id,Sentence_id,before_id,after_id
108003794,6,mg/ml 上昇する,mg/ml スラッジの発生重量汚染度 上昇する
108003794,6,当社推奨の管理限界値 上昇する,当社推奨の管理限界値 mg/ml 上昇する
108003794,7,表面 フィルタ表面の異物観察 なる,表面 フィルタ表面の異物観察 当社推奨の管理限界値 なる
108003794,7,表面 茶褐色 なる,表面 茶褐色 当社推奨の管理限界値 なる
108003794,7,汚染度 高い,汚染度 茶褐色 当社推奨の管理限界値 高い
108003794,8,汚染度 増加する,汚染度 茶褐色 増加する
108003794,8,スラッジ 微細,スラッジ 茶褐色 汚染度 微細
108003794,11,亜鉛系添加剤の影響 溶出する,亜鉛系添加剤の影響 使用した部分の溶出 溶出する
108003794,12,酸化速度 進行する,酸化速度 銅濃度の増加 進行する
108003794,15,当社推奨の管理限界値である±％以内 ある,当社推奨の管理限界値である±％以内 粘度 ある
108003794,33,リン 混入する,リン 鉄 混入する
108003794,33,亜鉛 混入する,亜鉛 鉄 混入する
108003794,33,外部 混入する,外部 亜鉛 混入する
108003794,36,鉄 含む,鉄 良好の範囲 含む
108003794,36,クロム 含む,クロム 鉄 含む
108003794,36,マンガン 含む,マンガン クロム 含む
108003794,36,ニッケル 含む,ニッケル マンガン 含む
108003794,37,鉄 含む,鉄 XMA 含む
108003794,37,クロム 含む,クロム 鉄 含む
108003794,37,マンガン 含む,マンガン クロム 含む
108003794,37,ニッケル 含む,ニッケル マンガン 含む
109000229,3,油温 なる,油温 粒子サイズ なる
109000229,6,油槽内などでの沈降 均衡する,油槽内などでの沈降 濃度 均衡する
109000229,6,バランス 崩れる,バランス 油槽内などでの沈降 崩れる
109000229,7,発生 崩れる,発生 油槽内などでの沈降 崩れる
109000229,7,減少の均衡 崩れる,減少の均衡 油槽内などでの沈降 崩れる
109000229,7,これ 低下する,減少の均衡 油槽内などでの沈降 低下する
109000229,7,発生量 低下する,発生量 油槽内などでの沈降 低下する
109000229,7,減少量 大きい,減少量 油槽内などでの沈降 大きい
109000229,7,汚染状態 良好,汚染状態 油槽内などでの沈降 良好
109000229,7,潤滑状態 良好,潤滑状態 油槽内などでの沈降 良好
109000229,8,油中の粒子 低下する,油中の粒子 油槽内などでの沈降 低下する
109000229,8,減少 考える,減少 油槽内などでの沈降 考える
109000229,8,油中の摩耗粒子 低下する,油中の摩耗粒子 減少 低下する
109000229,8,油槽内部での沈降 ある,油槽内部での沈降 減少 ある
109000229,8,設備 考える,設備 減少 考える
