Report_id,Sentence_id,before_id,after_id
108003794,0,沈降の影響 受ける,沈降の影響 受ける
108003794,0,濃度 出る,濃度 出る
108003794,2,μm以下の疲労摩耗粒子 検出する,μm以下の疲労摩耗粒子 検出する
108003794,2,軸受の寿命の指標 なる,軸受の寿命の指標 なる
108003794,4,リン 使用油である日石タービン 含む,リン 使用油である日石タービン 含む
108003794,4,リン 添加剤 含む,リン 添加剤 含む
108003794,4,亜鉛 使用油である日石タービン 含む,亜鉛 使用油である日石タービン 含む
108003794,4,亜鉛 添加剤 含む,亜鉛 添加剤 含む
108003794,6,スラッジの発生重量汚染度 上昇する,スラッジの発生重量汚染度 上昇する
108003794,6,mg/ml 上昇する,mg/ml スラッジの発生重量汚染度 上昇する
108003794,6,当社推奨の管理限界値 上昇する,当社推奨の管理限界値 mg/ml 上昇する
108003794,7,表面 フィルタ表面の異物観察 なる,表面 フィルタ表面の異物観察 当社推奨の管理限界値 なる
108003794,7,表面 茶褐色 なる,表面 茶褐色 当社推奨の管理限界値 なる
108003794,7,鉄 検出する,鉄 検出する
108003794,7,リン 検出する,リン 検出する
108003794,7,亜鉛 検出する,亜鉛 検出する
108003794,7,汚染度 高い,汚染度 茶褐色 当社推奨の管理限界値 高い
108003794,8,汚染度 増加する,汚染度 茶褐色 増加する
108003794,8,軸受軌道面の油膜形成 及ぼす,軸受軌道面の油膜形成 及ぼす
108003794,8,スラッジ 微細,スラッジ 茶褐色 汚染度 微細
108003794,10,使用した部分の溶出 発生する,使用した部分の溶出 発生する
108003794,11,亜鉛系添加剤の影響 溶出する,亜鉛系添加剤の影響 使用した部分の溶出 溶出する
108003794,12,銅濃度の増加 伴う,銅濃度の増加 伴う
108003794,12,酸化速度 進行する,酸化速度 銅濃度の増加 進行する
108003794,14,粘度 良好,粘度 良好
108003794,15,当社推奨の管理限界値である±％以内 ある,当社推奨の管理限界値である±％以内 粘度 ある
108003794,16,水分 良好,水分 良好
108003794,17,当社推奨の管理限界値の以内 .ppm ある,当社推奨の管理限界値の以内 .ppm ある
108003794,22,計数汚染度 高い,計数汚染度 高い
108003794,22,当社推奨の管理限界値 重量汚染度 上昇する,当社推奨の管理限界値 重量汚染度 上昇する
108003794,23,計数汚染度 なる,計数汚染度 なる
108003794,23,高い値 なる,高い値 なる
108003794,24,NAS級 計数汚染度 ある,NAS級 計数汚染度 ある
108003794,24,当社推奨の管理限界値のNAS級以内 計数汚染度 ある,当社推奨の管理限界値のNAS級以内 計数汚染度 ある
108003794,24,高い値 なる,高い値 なる
108003794,25,当社推奨の管理限界値 重量汚染度 上昇する,当社推奨の管理限界値 重量汚染度 上昇する
108003794,26,mg/ml 重量汚染度 上昇する,mg/ml 重量汚染度 上昇する
108003794,26,当社推奨の管理限界値のmg/ml 重量汚染度 上昇する,当社推奨の管理限界値のmg/ml 重量汚染度 上昇する
108003794,29,機器の潤滑状態機器の潤滑状態 良好,機器の潤滑状態機器の潤滑状態 良好
108003794,30,銅 検出する,銅 検出する
108003794,31,銅 含む,銅 含む
108003794,31,油の添加剤成分 含む,油の添加剤成分 含む
108003794,31,リン 検出する,リン 検出する
108003794,31,亜鉛 検出する,亜鉛 検出する
108003794,32,鉄 検出する,鉄 検出する
108003794,32,亜鉛 検出する,亜鉛 検出する
108003794,33,鉄 含む,鉄 含む
108003794,33,油の添加剤成分 含む,油の添加剤成分 含む
108003794,33,リン 混入する,リン 鉄 混入する
108003794,33,亜鉛 混入する,亜鉛 鉄 混入する
108003794,33,外部 混入する,外部 亜鉛 混入する
108003794,33,バリウム 検出する,バリウム 検出する
